NSC,mean_log_IC50,CELL_NAME
88536,-4.3594,HCT-116
88536,-4.4257,HCT-15
88536,-4.61475,HL-60(TB)
88536,-4.17385,HOP-62
88536,-4,HOP-92
88536,-4.00725,HS 578T
88536,-4.231,HT29
88536,-4.29505,IGROV1
88536,-4.47115,K-562
88536,-4.36335,KM12
88536,-4.42075,LOX IMVI
88536,-4.30655,M14
88536,-4.0167,MALME-3M
88536,-4.40415,MCF7
88536,-4.04645,MDA-MB-231/ATCC
88536,-4.33025,MDA-MB-435
88536,-4.447,MOLT-4
88536,-4.1,NCI-H226
88536,-4.12775,NCI-H23
88536,-4,NCI-H322M
88536,-4.44825,NCI-H460
88536,-4.25405,NCI-H522
88536,-4.30305,NCI/ADR-RES
88536,-4.13875,OVCAR-3
88536,-4.07995,OVCAR-4
88536,-4.0486,OVCAR-5
88536,-4.3162,OVCAR-8
88536,-4.7134,PC-3
88536,-4.37615,RPMI-8226
88536,-4.3067,RXF 393
88536,-4.15125,SF-268
88536,-4.2812,SF-295
88536,-4.068,SF-539
88536,-4.4462,SK-MEL-2
88536,-4.12145,SK-MEL-28
88536,-4.57765,SK-MEL-5
88536,-4.0678,SK-OV-3
88536,-4.10935,SN12C
88536,-4.0037,SNB-19
88536,-4,SNB-75
88536,-4.3797,SR
88536,-4.2985,SW-620
88536,-4.2305,T-47D
88536,-4.02,TK-10
88536,-4.34665,U251
88536,-4.09825,UACC-257
88536,-4.44115,UACC-62
88536,-4.35415,UO-31
92339,-4,786-0
92339,-4,A498
92339,-4,A549/ATCC
92339,-4,ACHN
92339,-4,BT-549
92339,-4,CAKI-1
92339,-4.27613333333333,CCRF-CEM
92339,-4,COLO 205
92339,-4,DU-145
92339,-4,EKVX
92339,-4,HCC-2998
92339,-4,HCT-116
92339,-4,HCT-15
92339,-4,HL-60(TB)
92339,-4,HOP-62
92339,-4,HOP-92
92339,-4,HS 578T
92339,-4,HT29
92339,-4,IGROV1
92339,-4,K-562
92339,-4,KM12
92339,-4,LOX IMVI
92339,-4,M14
92339,-4,MALME-3M
92339,-4,MCF7
92339,-4,MDA-MB-231/ATCC
92339,-4,MDA-MB-435
92339,-4,MDA-N
92339,-4,MOLT-4
92339,-4,NCI-H226
92339,-4,NCI-H23
92339,-4,NCI-H322M
92339,-4,NCI-H460
92339,-4,NCI-H522
92339,-4,NCI/ADR-RES
92339,-4,OVCAR-3
92339,-4,OVCAR-4
92339,-4,OVCAR-5
92339,-4,OVCAR-8
92339,-4,PC-3
92339,-4,RPMI-8226
92339,-4,RXF 393
92339,-4,SF-268
92339,-4,SF-295
92339,-4,SF-539
92339,-4,SK-MEL-2
92339,-4,SK-MEL-28
92339,-4,SK-MEL-5
92339,-4,SK-OV-3
92339,-4,SN12C
92339,-4,SNB-19
92339,-4,SNB-75
92339,-4,SR
92339,-4,SW-620
92339,-4,T-47D
92339,-4,TK-10
92339,-4,U251
92339,-4,UACC-257
92339,-4,UACC-62
92339,-4,UO-31
92859,-4.682825,786-0
92859,-4.51854,A498
92859,-4.46586,A549/ATCC
92859,-4.385875,ACHN
92859,-4.671325,BT-549
92859,-4.92732,CAKI-1
92859,-5.18672,CCRF-CEM
92859,-4.51772,COLO 205
92859,-4.27523333333333,DU-145
92859,-4.6548,EKVX
